subject_id,split
P001,train
P003,train
P004,train
P005,train
P006,train
P007,train
P008,train
P009,train
P011,train
P026,train
P027,train
P031,train
P032,train
P035,train
P037,train
P038,train
P039,train
P040,train
P041,train
P042,train
P043,train
P044,train
P045,train
P046,train
P047,train
P048,train
P049,train
P050,train
P051,train
P052,train
P053,train
P056,train
P057,train
P058,train
P060,train
P061,train
P062,train
P012,val
P013,val
P014,val
P016,val
P017,val
P018,val
P020,val
P021,val
P023,val
P012,test
P013,test
P014,test
P016,test
P017,test
P018,test
P020,test
P021,test
P023,test
