subject_id,split
P001,train
P003,train
P004,train
P005,train
P006,train
P007,train
P008,train
P009,train
P011,train
P012,train
P013,train
P014,train
P016,train
P017,train
P018,train
P020,train
P021,train
P023,train
P026,train
P027,train
P031,train
P032,train
P035,train
P037,train
P038,train
P039,train
P040,train
P041,train
P042,train
P043,train
P044,train
P045,train
P046,train
P047,train
P048,train
P049,train
P062,train
P050,val
P051,val
P052,val
P053,val
P056,val
P057,val
P058,val
P060,val
P061,val
P050,test
P051,test
P052,test
P053,test
P056,test
P057,test
P058,test
P060,test
P061,test
