subject_id,split
P001,train
P003,train
P004,train
P005,train
P006,train
P007,train
P008,train
P009,train
P011,train
P012,train
P013,train
P014,train
P016,train
P017,train
P018,train
P020,train
P021,train
P023,train
P041,train
P042,train
P043,train
P044,train
P045,train
P046,train
P047,train
P048,train
P049,train
P050,train
P051,train
P052,train
P053,train
P056,train
P057,train
P058,train
P060,train
P061,train
P062,train
P026,val
P027,val
P031,val
P032,val
P035,val
P037,val
P038,val
P039,val
P040,val
P026,test
P027,test
P031,test
P032,test
P035,test
P037,test
P038,test
P039,test
P040,test
