subject_id,split
P001,train
P003,train
P004,train
P005,train
P006,train
P007,train
P008,train
P009,train
P011,train
P012,train
P013,train
P014,train
P016,train
P017,train
P018,train
P020,train
P021,train
P023,train
P026,train
P027,train
P031,train
P032,train
P035,train
P037,train
P038,train
P039,train
P040,train
P050,train
P051,train
P052,train
P053,train
P056,train
P057,train
P058,train
P060,train
P061,train
P062,train
P041,val
P042,val
P043,val
P044,val
P045,val
P046,val
P047,val
P048,val
P049,val
P041,test
P042,test
P043,test
P044,test
P045,test
P046,test
P047,test
P048,test
P049,test
