subject_id,split
2ea4.pkl,train
2hpu.pkl,train
2z7d.pkl,train
37ir.pkl,train
45lx.pkl,train
4e8r.pkl,train
4woj.pkl,train
5f7t.pkl,train
6g6y.pkl,train
6k5f.pkl,train
71i5.pkl,train
7h5u.pkl,train
ctzy.pkl,train
cxj0.pkl,train
d4n6.pkl,train
dmbd.pkl,train
e5p4.pkl,train
f6q3.pkl,train
g7r2.pkl,train
g9j5.pkl,train
h7j3.pkl,train
h8r2.pkl,train
h8s1.pkl,train
hvpa.pkl,train
i9t9.pkl,train
iqyg.pkl,train
j1u8.pkl,train
j9h8.pkl,train
k2v7.pkl,train
k67g.pkl,train
kkf5.pkl,train
kycf.pkl,train
m8g5.pkl,train
p9i3.pkl,train
ql3b.pkl,train
qw5t.pkl,train
qx2o.pkl,train
r0a3.pkl,train
r3zm.pkl,train
r5s8.pkl,train
t6v9.pkl,train
tmvd.pkl,train
u3v9.pkl,train
uymz.pkl,train
uyrl.pkl,train
v8mh.pkl,train
w2t5.pkl,train
wfsl.pkl,train
wssm.pkl,train
x1q3.pkl,train
y8c3.pkl,train
y9z6.pkl,train
7m3c.pkl,val
8g4y.pkl,val
8i4i.pkl,val
9j3o.pkl,val
9t6n.pkl,val
9txq.pkl,val
a1k9.pkl,val
b2l8.pkl,val
b9w0.pkl,val
bfl5.pkl,val
c3m7.pkl,val
chdf.pkl,val
7m3c.pkl,test
8g4y.pkl,test
8i4i.pkl,test
9j3o.pkl,test
9t6n.pkl,test
9txq.pkl,test
a1k9.pkl,test
b2l8.pkl,test
b9w0.pkl,test
bfl5.pkl,test
c3m7.pkl,test
chdf.pkl,test
