subject_id,split
2ea4.pkl,train
2hpu.pkl,train
2z7d.pkl,train
37ir.pkl,train
45lx.pkl,train
4e8r.pkl,train
4woj.pkl,train
5f7t.pkl,train
6g6y.pkl,train
6k5f.pkl,train
71i5.pkl,train
7h5u.pkl,train
7m3c.pkl,train
8g4y.pkl,train
8i4i.pkl,train
9j3o.pkl,train
9t6n.pkl,train
9txq.pkl,train
a1k9.pkl,train
b2l8.pkl,train
b9w0.pkl,train
bfl5.pkl,train
c3m7.pkl,train
chdf.pkl,train
ctzy.pkl,train
cxj0.pkl,train
d4n6.pkl,train
dmbd.pkl,train
e5p4.pkl,train
f6q3.pkl,train
g7r2.pkl,train
g9j5.pkl,train
h7j3.pkl,train
h8r2.pkl,train
h8s1.pkl,train
hvpa.pkl,train
qx2o.pkl,train
r0a3.pkl,train
r3zm.pkl,train
r5s8.pkl,train
t6v9.pkl,train
tmvd.pkl,train
u3v9.pkl,train
uymz.pkl,train
uyrl.pkl,train
v8mh.pkl,train
w2t5.pkl,train
wfsl.pkl,train
wssm.pkl,train
x1q3.pkl,train
y8c3.pkl,train
y9z6.pkl,train
i9t9.pkl,val
iqyg.pkl,val
j1u8.pkl,val
j9h8.pkl,val
k2v7.pkl,val
k67g.pkl,val
kkf5.pkl,val
kycf.pkl,val
m8g5.pkl,val
p9i3.pkl,val
ql3b.pkl,val
qw5t.pkl,val
i9t9.pkl,test
iqyg.pkl,test
j1u8.pkl,test
j9h8.pkl,test
k2v7.pkl,test
k67g.pkl,test
kkf5.pkl,test
kycf.pkl,test
m8g5.pkl,test
p9i3.pkl,test
ql3b.pkl,test
qw5t.pkl,test
