subject_id,split
7m3c.pkl,train
8g4y.pkl,train
8i4i.pkl,train
9j3o.pkl,train
9t6n.pkl,train
9txq.pkl,train
a1k9.pkl,train
b2l8.pkl,train
b9w0.pkl,train
bfl5.pkl,train
c3m7.pkl,train
chdf.pkl,train
ctzy.pkl,train
cxj0.pkl,train
d4n6.pkl,train
dmbd.pkl,train
e5p4.pkl,train
f6q3.pkl,train
g7r2.pkl,train
g9j5.pkl,train
h7j3.pkl,train
h8r2.pkl,train
h8s1.pkl,train
hvpa.pkl,train
i9t9.pkl,train
iqyg.pkl,train
j1u8.pkl,train
j9h8.pkl,train
k2v7.pkl,train
k67g.pkl,train
kkf5.pkl,train
kycf.pkl,train
m8g5.pkl,train
p9i3.pkl,train
ql3b.pkl,train
qw5t.pkl,train
qx2o.pkl,train
r0a3.pkl,train
r3zm.pkl,train
r5s8.pkl,train
t6v9.pkl,train
tmvd.pkl,train
u3v9.pkl,train
uymz.pkl,train
uyrl.pkl,train
v8mh.pkl,train
w2t5.pkl,train
wfsl.pkl,train
wssm.pkl,train
x1q3.pkl,train
y8c3.pkl,train
y9z6.pkl,train
2ea4.pkl,val
2hpu.pkl,val
2z7d.pkl,val
37ir.pkl,val
45lx.pkl,val
4e8r.pkl,val
4woj.pkl,val
5f7t.pkl,val
6g6y.pkl,val
6k5f.pkl,val
71i5.pkl,val
7h5u.pkl,val
2ea4.pkl,test
2hpu.pkl,test
2z7d.pkl,test
37ir.pkl,test
45lx.pkl,test
4e8r.pkl,test
4woj.pkl,test
5f7t.pkl,test
6g6y.pkl,test
6k5f.pkl,test
71i5.pkl,test
7h5u.pkl,test
