subject_id,split
2ea4.pkl,train
2hpu.pkl,train
2z7d.pkl,train
37ir.pkl,train
45lx.pkl,train
4e8r.pkl,train
4woj.pkl,train
5f7t.pkl,train
6g6y.pkl,train
6k5f.pkl,train
71i5.pkl,train
7h5u.pkl,train
7m3c.pkl,train
8g4y.pkl,train
8i4i.pkl,train
9j3o.pkl,train
9t6n.pkl,train
9txq.pkl,train
a1k9.pkl,train
b2l8.pkl,train
b9w0.pkl,train
bfl5.pkl,train
c3m7.pkl,train
chdf.pkl,train
i9t9.pkl,train
iqyg.pkl,train
j1u8.pkl,train
j9h8.pkl,train
k2v7.pkl,train
k67g.pkl,train
kkf5.pkl,train
kycf.pkl,train
m8g5.pkl,train
p9i3.pkl,train
ql3b.pkl,train
qw5t.pkl,train
qx2o.pkl,train
r0a3.pkl,train
r3zm.pkl,train
r5s8.pkl,train
t6v9.pkl,train
tmvd.pkl,train
u3v9.pkl,train
uymz.pkl,train
uyrl.pkl,train
v8mh.pkl,train
w2t5.pkl,train
wfsl.pkl,train
wssm.pkl,train
x1q3.pkl,train
y8c3.pkl,train
y9z6.pkl,train
ctzy.pkl,val
cxj0.pkl,val
d4n6.pkl,val
dmbd.pkl,val
e5p4.pkl,val
f6q3.pkl,val
g7r2.pkl,val
g9j5.pkl,val
h7j3.pkl,val
h8r2.pkl,val
h8s1.pkl,val
hvpa.pkl,val
ctzy.pkl,test
cxj0.pkl,test
d4n6.pkl,test
dmbd.pkl,test
e5p4.pkl,test
f6q3.pkl,test
g7r2.pkl,test
g9j5.pkl,test
h7j3.pkl,test
h8r2.pkl,test
h8s1.pkl,test
hvpa.pkl,test
